,word1,word2,cosine_similarity
103,dumb,rare,0.15846
104,sly,tough,0.29528
105,terrific,mad,0.2184
106,modest,flexible,0.1538
107,fresh,wide,0.23412
108,huge,dumb,0.17719
109,large,flexible,0.44286
110,dirty,narrow,0.40411
111,wife,husband,0.82507
112,book,text,0.5395
113,groom,bride,0.54584
114,night,day,0.7432
115,south,north,0.73048
116,plane,airport,0.34813
117,uncle,aunt,0.59179
118,horse,mare,0.49394
119,bottom,top,0.69375
120,friend,buddy,0.375
121,student,pupil,0.3511
122,world,globe,0.47906
123,leg,arm,0.53814
124,plane,jet,0.47481
125,woman,man,0.70429
126,horse,colt,0.33142
127,actress,actor,0.38542
128,teacher,instructor,0.59817
129,movie,film,0.40847
130,bird,hawk,0.33686
131,word,dictionary,0.57049
132,money,salary,0.4616
133,dog,cat,0.52867
134,area,region,0.47977
135,navy,army,0.74278
136,book,literature,0.59937
137,clothes,closet,0.47688
138,sunset,sunrise,0.83223
139,child,adult,0.54718
140,cow,cattle,0.56712
141,book,story,0.38826
142,winter,summer,0.68003
143,taxi,cab,0.38537
144,tree,maple,0.32501
145,bed,bedroom,0.64194
146,roof,ceiling,0.69722
147,disease,infection,0.76763
148,arm,shoulder,0.61975
149,sheep,lamb,0.34076
150,lady,gentleman,0.40721
151,boat,anchor,0.43892
152,priest,monk,0.46657
153,toe,finger,0.49479
154,river,stream,0.46047
155,anger,fury,0.32033
156,date,calendar,0.54817
157,sea,ocean,0.57539
158,second,minute,0.28192
159,hand,thumb,0.49066
160,wood,log,0.3733
161,mud,dirt,0.48859
162,hallway,corridor,0.5177
163,way,manner,0.35705
164,mouse,cat,0.39244
165,cop,sheriff,0.4345
166,death,burial,0.40443
167,music,melody,0.57889
168,beer,alcohol,0.35907
169,mouth,lip,0.50188
170,storm,hurricane,0.37749
171,tax,income,0.70175
172,flower,violet,0.19159
173,paper,cardboard,0.52711
174,floor,ceiling,0.73038
175,beach,seashore,0.43345
176,rod,curtain,0.2871
177,hound,fox,0.04099
178,street,alley,0.47941
179,boat,deck,0.43244
180,car,horn,0.30048
181,friend,guest,0.41339
182,employer,employee,0.52302
183,hand,wrist,0.61198
184,ball,cannon,0.17597
185,alcohol,brandy,0.34739
186,victory,triumph,0.51917
187,telephone,booth,0.49952
188,door,doorway,0.58593
189,motel,inn,0.16973
190,clothes,cloth,0.5785
191,steak,meat,0.44253
192,nail,thumb,0.33411
193,band,orchestra,0.52127
194,book,bible,0.55235
195,business,industry,0.70149
196,winter,season,0.45899
197,decade,century,0.57036
198,alcohol,gin,0.14346
199,hat,coat,0.65455
200,window,door,0.73317
201,arm,wrist,0.51823
202,house,apartment,0.69071
203,glass,crystal,0.3324
204,wine,brandy,0.60976
205,creator,maker,0.31121
206,dinner,breakfast,0.68342
207,arm,muscle,0.32591
208,bubble,suds,0.34902
209,bread,flour,0.70272
210,death,tragedy,0.3708
211,absence,presence,0.42385
212,gun,cannon,0.59642
213,grass,blade,0.57457
214,ball,basket,0.54599
215,hose,garden,0.31665
216,boy,kid,0.61775
217,church,choir,0.3904
218,clothes,drawer,0.49032
219,tower,bell,0.43951
220,father,parent,0.53182
221,school,grade,0.55821
222,parent,adult,0.28115
223,bar,jail,0.30349
224,car,highway,0.27693
225,dictionary,definition,0.43023
226,door,cellar,0.44927
227,army,legion,0.34515
228,metal,aluminum,0.60033
229,chair,bench,0.38118
230,cloud,fog,0.45171
231,boy,son,0.5368
232,water,ice,0.5883
233,bed,blanket,0.41487
234,attorney,lawyer,0.55974
235,area,zone,0.47439
236,business,company,0.60031
237,clothes,fabric,0.44112
238,sweater,jacket,0.53819
239,money,capital,0.52958
240,hand,foot,0.554
241,alcohol,cocktail,0.30215
242,yard,inch,0.16921
243,molecule,atom,0.58527
244,lens,camera,0.56613
245,meal,dinner,0.53863
246,eye,tear,0.36556
247,god,devil,0.463
248,loop,belt,0.28295
249,rat,mouse,0.10859
250,motor,engine,0.46753
251,car,cab,0.48467
252,cat,lion,0.47123
253,size,magnitude,0.58758
254,reality,fantasy,0.36715
255,door,gate,0.57263
256,cat,pet,0.433
257,tin,aluminum,0.32192
258,bone,jaw,0.45144
259,cereal,wheat,0.47451
260,house,key,0.39639
261,blood,flesh,0.44601
262,door,corridor,0.66538
263,god,spirit,0.64354
264,capability,competence,0.17407
265,abundance,plenty,0.21961
266,sofa,chair,0.29312
267,wall,brick,0.56577
268,horn,drum,0.33627
269,organ,liver,0.44855
270,strength,might,0.29014
271,phrase,word,0.48771
272,band,parade,0.21385
273,stomach,waist,0.27093
274,cloud,storm,0.44031
275,joy,pride,0.42517
276,noise,rattle,0.36684
277,rain,mist,0.54304
278,beer,beverage,0.47102
279,man,uncle,0.56819
280,apple,juice,0.532
281,intelligence,logic,0.31893
282,communication,language,0.50133
283,mink,fur,0.41508
284,mob,crowd,0.22285
285,shore,coast,0.31426
286,wire,cord,0.35481
287,bird,turkey,0.14072
288,bed,crib,0.36878
289,competence,ability,0.344
290,cloud,haze,0.40617
291,supper,meal,0.43528
292,bar,cage,0.39534
293,water,salt,0.61606
294,sense,intuition,0.48575
295,situation,condition,0.47674
296,crime,theft,0.30793
297,style,fashion,0.53164
298,boundary,border,0.46987
299,arm,body,0.39832
300,boat,car,0.48523
301,sandwich,lunch,0.4691
302,bride,princess,0.35254
303,heroine,hero,0.43438
304,car,gauge,0.29651
305,insect,bee,0.17342
306,crib,cradle,0.38486
307,animal,person,0.43697
308,marijuana,herb,0.09091
309,bed,hospital,0.29477
310,cheek,tongue,0.56134
311,disc,computer,0.25809
312,curve,angle,0.3771
313,grass,moss,0.24497
314,school,law,0.29499
315,foot,head,0.65106
316,mother,guardian,0.34527
317,orthodontist,dentist,0.66793
318,alcohol,whiskey,0.3694
319,mouth,tooth,0.2816
320,breakfast,bacon,0.33237
321,bathroom,bedroom,0.56723
322,plate,bowl,0.67871
323,meat,bacon,0.25264
324,air,helium,0.45742
325,worker,employer,0.47063
326,body,chest,0.56095
327,son,father,0.72979
328,heart,surgery,0.25487
329,woman,secretary,0.22944
330,man,father,0.63495
331,beach,island,0.3106
332,story,topic,0.45584
333,game,fun,0.32432
334,weekend,week,0.56705
335,couple,pair,0.25298
336,woman,wife,0.70729
337,sheep,cattle,0.50976
338,purse,bag,0.37737
339,ceiling,cathedral,0.45049
340,bean,coffee,0.27931
341,wood,paper,0.42232
342,top,side,0.57932
343,crime,fraud,0.24215
344,pain,harm,0.29969
345,lover,companion,0.32234
346,evening,dusk,0.53405
347,father,daughter,0.77347
348,wine,liquor,0.39314
349,cow,goat,0.32854
350,belief,opinion,0.39525
351,reality,illusion,0.42695
352,pact,agreement,0.40515
353,wealth,poverty,0.32052
354,accident,emergency,0.1457
355,battle,conquest,0.17957
356,friend,teacher,0.26856
357,illness,infection,0.34188
358,game,trick,0.36646
359,brother,son,0.7329
360,aunt,nephew,0.56497
361,worker,mechanic,0.45079
362,doctor,orthodontist,0.40654
363,oak,maple,0.37903
364,bee,queen,0.44437
365,car,bicycle,0.35938
366,goal,quest,0.21158
367,august,month,0.63809
368,army,squad,0.35675
369,cloud,weather,0.26664
370,physician,doctor,0.49073
371,canyon,valley,0.5813
372,river,valley,0.74751
373,sun,sky,0.70468
374,target,arrow,0.01834
375,chocolate,pie,0.44653
376,circumstance,situation,0.38521
377,opinion,choice,0.37295
378,rhythm,melody,0.40021
379,gut,nerve,0.39833
380,day,dawn,0.45955
381,cattle,beef,0.71496
382,doctor,professor,0.28022
383,arm,vein,0.22472
384,room,bath,0.47601
385,corporation,business,0.51364
386,fun,football,0.19285
387,hill,cliff,0.41446
388,bone,ankle,0.37763
389,apple,candy,0.39022
390,helper,maid,0.08587
391,leader,manager,0.26304
392,lemon,tea,0.53146
393,bee,ant,0.18913
394,basketball,baseball,0.65249
395,rice,bean,0.32917
396,bed,furniture,0.3288
397,emotion,passion,0.5088
398,anarchy,chaos,0.23007
399,crime,violation,0.22651
400,machine,engine,0.56268
401,beach,sea,0.32723
402,alley,bowl,0.45172
403,jar,bottle,0.49473
404,strength,capability,0.33762
405,seed,mustard,0.41919
406,guitar,drum,0.43189
407,opinion,idea,0.41817
408,north,west,0.67935
409,diet,salad,0.44108
410,mother,wife,0.70646
411,dad,mother,0.3584
412,captain,sailor,0.22511
413,meter,yard,0.26466
414,beer,champagne,0.45261
415,motor,boat,0.42065
416,card,bridge,0.23848
417,science,psychology,0.51666
418,sinner,saint,0.66533
419,destruction,construction,0.24577
420,crowd,bunch,0.43298
421,beach,reef,0.38091
422,man,child,0.42128
423,bread,cheese,0.60228
424,champion,winner,0.33158
425,celebration,ceremony,0.42491
426,menu,order,0.35969
427,king,princess,0.49581
428,wealth,prestige,0.52607
429,endurance,strength,0.29091
430,danger,threat,0.54643
431,god,priest,0.51452
432,men,fraternity,0.30541
433,buddy,companion,0.30049
434,teacher,helper,0.33514
435,body,stomach,0.55671
436,tongue,throat,0.39502
437,house,carpet,0.44742
438,intelligence,skill,0.1901
439,journey,conquest,0.35396
440,god,prey,0.43416
441,brother,soul,0.41416
442,adversary,opponent,0.31479
443,death,catastrophe,0.44958
444,monster,demon,0.15374
445,day,morning,0.74598
446,man,victor,0.53602
447,friend,guy,0.48775
448,song,story,0.35422
449,ray,sunshine,0.07101
450,guy,stud,0.40981
451,chicken,rice,0.41215
452,box,elevator,0.38876
453,butter,potato,0.40834
454,apartment,furniture,0.46619
455,lake,swamp,0.43061
456,salad,vinegar,0.59462
457,flower,bulb,0.40159
458,cloud,mist,0.30199
459,driver,pilot,0.10707
460,sugar,honey,0.55247
461,body,shoulder,0.51642
462,idea,image,0.41314
463,father,brother,0.59387
464,moon,planet,0.55927
465,ball,costume,0.23558
466,rail,fence,0.55851
467,room,bed,0.57048
468,flower,bush,0.26109
469,bone,knee,0.50036
470,arm,knee,0.4828
471,bottom,side,0.53614
472,vessel,vein,0.28826
473,cat,rabbit,0.35798
474,meat,sandwich,0.51702
475,belief,concept,0.46243
476,intelligence,insight,0.20459
477,attention,interest,0.59516
478,attitude,confidence,0.35911
479,right,justice,0.40334
480,argument,agreement,0.38123
481,depth,magnitude,0.38595
482,medium,news,0.24757
483,winner,candidate,0.09474
484,birthday,date,0.29972
485,fee,payment,0.56942
486,bible,hymn,0.48547
487,exit,doorway,0.28809
488,man,sentry,0.26397
489,aisle,hall,0.48847
490,whiskey,gin,0.28712
491,blood,marrow,0.45661
492,oil,mink,0.39143
493,floor,deck,0.44811
494,roof,floor,0.61752
495,door,floor,0.59854
496,shoulder,head,0.67334
497,wagon,carriage,0.06868
498,car,carriage,0.46521
499,elbow,ankle,0.31344
500,wealth,fame,0.31933
501,sorrow,shame,0.2083
502,administration,management,0.51836
503,communication,conversation,0.32592
504,pollution,atmosphere,0.48481
505,anatomy,biology,0.31545
506,college,profession,0.59397
507,book,topic,0.37447
508,formula,equation,0.65867
509,book,information,0.2528
510,boy,partner,0.34239
511,sky,universe,0.37706
512,population,people,0.43472
513,college,class,0.52618
514,chief,mayor,0.52992
515,rabbi,minister,0.36934
516,meter,inch,0.34527
517,polyester,cotton,0.1009
518,lawyer,banker,0.2752
519,violin,instrument,0.50984
520,camp,cabin,0.22105
521,pot,appliance,0.11663
522,linen,fabric,0.54214
523,whiskey,champagne,0.28936
524,girl,child,0.45906
525,cottage,cabin,0.23303
526,bird,hen,0.40189
527,racket,noise,0.36666
528,sunset,evening,0.50008
529,drizzle,rain,0.34218
530,adult,baby,0.21372
531,charcoal,coal,0.43411
532,body,spine,0.53829
533,head,nail,0.3783
534,log,timber,0.45482
535,spoon,cup,0.5688
536,body,nerve,0.4008
537,man,husband,0.57174
538,bone,neck,0.43401
539,frustration,anger,0.29928
540,river,sea,0.58335
541,task,job,0.30835
542,club,society,0.3854
543,reflection,image,0.39911
544,prince,king,0.56362
545,snow,weather,0.48581
546,people,party,0.41781
547,boy,brother,0.41182
548,root,grass,0.43284
549,brow,eye,0.1494
550,money,pearl,0.16668
551,money,diamond,0.14274
552,vehicle,bus,0.3383
553,cab,bus,0.43777
554,house,barn,0.51092
555,finger,palm,0.33054
556,car,bridge,0.31911
557,effort,difficulty,0.29865
558,fact,insight,0.42677
559,job,management,0.49272
560,cancer,sickness,0.432
561,word,newspaper,0.27218
562,composer,writer,0.5465
563,actor,singer,0.38579
564,shelter,hut,0.31892
565,bathroom,kitchen,0.6127
566,cabin,hut,0.56358
567,door,kitchen,0.58352
568,value,belief,0.41292
569,wisdom,intelligence,0.29749
570,ignorance,intelligence,0.25116
571,happiness,luck,0.1614
572,idea,scheme,0.34119
573,mood,emotion,0.38646
574,happiness,peace,0.41048
575,despair,misery,0.45976
576,logic,arithmetic,0.49114
577,denial,confession,0.39905
578,argument,criticism,0.32019
579,aggression,hostility,0.60445
580,hysteria,confusion,0.24863
581,chemistry,theory,0.35414
582,trial,verdict,0.61224
583,comfort,safety,0.36153
584,confidence,self,0.30511
585,vision,perception,0.32679
586,era,decade,0.45212
587,biography,fiction,0.51051
588,discussion,argument,0.5582
589,code,symbol,0.34698
590,danger,disease,0.36832
591,accident,catastrophe,0.40447
592,journey,trip,0.40743
593,activity,movement,0.58457
594,gossip,news,0.30148
595,father,god,0.56721
596,action,course,0.40049
597,fever,illness,0.35621
598,aviation,flight,0.40923
599,game,action,0.1448
600,molecule,air,0.26698
601,home,state,0.31023
602,word,literature,0.34934
603,adult,guardian,0.09691
604,newspaper,information,0.31339
605,communication,television,0.41857
606,cousin,uncle,0.6713
607,author,reader,0.38891
608,guy,partner,0.42075
609,area,corner,0.24873
610,ballad,song,0.6288
611,wall,decoration,0.24808
612,word,page,0.42378
613,nurse,scientist,0.34937
614,politician,president,0.52716
615,president,mayor,0.49294
616,book,essay,0.49049
617,man,warrior,0.481
618,article,journal,0.50375
619,breakfast,supper,0.68881
620,crowd,parade,0.31684
621,aisle,hallway,0.60051
622,teacher,rabbi,0.31795
623,hip,lip,0.24411
624,book,article,0.55919
625,room,cell,0.26374
626,box,booth,0.27667
627,daughter,kid,0.24089
628,limb,leg,0.30302
629,liver,lung,0.32376
630,classroom,hallway,0.50801
631,mountain,ledge,0.56274
632,car,elevator,0.52884
633,bed,couch,0.43758
634,clothes,button,0.06622
635,clothes,coat,0.5454
636,kidney,organ,0.22794
637,apple,sauce,0.55352
638,chicken,steak,0.59525
639,car,hose,0.40029
640,tobacco,cigarette,0.40042
641,student,professor,0.52097
642,baby,daughter,0.64395
643,pipe,cigar,0.35355
644,milk,juice,0.56821
645,box,cigar,0.42006
646,apartment,hotel,0.52226
647,cup,cone,0.40595
648,horse,ox,0.37995
649,throat,nose,0.58214
650,bone,teeth,0.3967
651,bone,elbow,0.38146
652,bacon,bean,0.33882
653,cup,jar,0.40424
654,proof,fact,0.46046
655,appointment,engagement,0.24249
656,birthday,year,0.41314
657,word,clue,0.14564
658,author,creator,0.24353
659,atom,carbon,0.48612
660,archbishop,bishop,0.44768
661,letter,paragraph,0.16955
662,page,paragraph,0.43706
663,steeple,chapel,0.37476
664,muscle,bone,0.54972
665,muscle,tongue,0.17615
666,boy,soldier,0.39024
667,belly,abdomen,0.33152
668,guy,girl,0.49165
669,bed,chair,0.68712
670,clothes,jacket,0.60891
671,gun,knife,0.49013
672,tin,metal,0.41743
673,bottle,container,0.48885
674,hen,turkey,0.38284
675,meat,bread,0.48556
676,arm,bone,0.30724
677,neck,spine,0.49698
678,apple,lemon,0.59814
679,agony,grief,0.35683
680,assignment,task,0.33487
681,night,dawn,0.55025
682,dinner,soup,0.63625
683,calf,bull,0.14701
684,snow,storm,0.47948
685,nail,hand,0.50029
686,dog,horse,0.29492
687,arm,neck,0.46587
688,ball,glove,0.69617
689,flu,fever,0.27814
690,fee,salary,0.56677
691,nerve,brain,0.2036
692,beast,animal,0.49689
693,dinner,chicken,0.44561
694,girl,maid,0.44507
695,child,boy,0.39749
696,alcohol,wine,0.24811
697,nose,mouth,0.52776
698,street,car,0.59745
699,bell,door,0.63064
700,box,hat,0.41764
701,belief,impression,0.37599
702,bias,opinion,0.30973
703,attention,awareness,0.27397
704,anger,mood,0.3946
705,elegance,style,0.60368
706,beauty,age,0.17438
707,book,theme,0.42761
708,friend,mother,0.55532
709,vitamin,iron,0.18494
710,car,factory,0.29595
711,pact,condition,0.12753
712,chapter,choice,0.33045
713,arithmetic,rhythm,0.26379
714,winner,presence,0.26669
715,belief,flower,0.06682
716,winner,goal,0.20988
717,trick,size,0.04614
718,choice,vein,0.04271
719,hymn,conquest,0.26296
720,endurance,band,0.27117
721,jail,choice,0.2057
722,condition,boy,0.17741
723,flower,endurance,0.18493
724,hole,agreement,0.00355
725,doctor,temper,0.17866
726,fraternity,door,0.14741
727,task,woman,0.23784
728,fraternity,baseball,0.13918
729,cent,size,0.43297
730,presence,door,0.11127
731,mouse,management,-0.00187
732,task,highway,0.19219
733,liquor,century,0.09733
734,task,straw,0.14953
735,island,task,0.14196
736,night,chapter,0.24601
737,pollution,president,0.19653
738,gun,trick,0.38766
739,bath,trick,0.24622
740,diet,apple,0.26114
741,cent,wife,0.12484
742,chapter,tail,0.13591
743,course,stomach,0.24404
744,hymn,straw,0.06867
745,dentist,colonel,0.25833
746,wife,straw,0.15985
747,hole,wife,0.21026
748,pupil,president,0.22228
749,bath,wife,0.3528
750,people,cent,0.40869
751,formula,log,0.05451
752,woman,fur,0.26902
753,apple,sunshine,0.2845
754,gun,dawn,0.37112
755,meal,waist,0.3761
756,camera,president,0.11125
757,liquor,band,0.17363
758,stomach,vein,0.31944
759,gun,fur,0.33322
760,couch,baseball,0.18884
761,worker,camera,0.1078
762,deck,mouse,0.27592
763,rice,boy,0.11554
764,people,gun,0.14676
765,cliff,tail,0.23899
766,ankle,window,0.28835
767,princess,island,0.34109
768,container,mouse,0.34803
769,wagon,container,0.23725
770,people,balloon,0.32629
771,dollar,people,0.28101
772,bath,balloon,0.23633
773,stomach,bedroom,0.25251
774,bicycle,bedroom,0.41532
775,log,bath,0.25196
776,bowl,tail,0.39911
777,go,come,0.82298
778,take,steal,0.45058
779,listen,hear,0.63419
780,think,rationalize,0.3026
781,occur,happen,0.27624
782,vanish,disappear,0.47613
783,multiply,divide,0.27777
784,plead,beg,0.34751
785,begin,originate,0.25674
786,protect,defend,0.12656
787,kill,destroy,0.44053
788,create,make,0.46743
789,accept,reject,0.50422
790,ignore,avoid,0.40617
791,carry,bring,0.29293
792,leave,enter,0.49849
793,choose,elect,0.27404
794,lose,fail,0.2568
795,encourage,discourage,0.56106
796,achieve,accomplish,0.21905
797,make,construct,0.44121
798,listen,obey,0.38148
799,inform,notify,0.43962
800,receive,give,0.43415
801,borrow,beg,0.43471
802,take,obtain,0.33787
803,advise,recommend,0.31563
804,imitate,portray,0.47062
805,win,succeed,0.33628
806,think,decide,0.56031
807,greet,meet,0.31543
808,agree,argue,0.47627
809,enjoy,entertain,0.53284
810,destroy,make,0.26361
811,save,protect,0.3953
812,give,lend,0.42963
813,understand,know,0.6531
814,take,receive,0.39502
815,accept,acknowledge,0.46668
816,decide,choose,0.4777
817,accept,believe,0.58671
818,keep,possess,0.01681
819,roam,wander,0.34914
820,succeed,fail,0.07071
821,spend,save,0.32075
822,leave,go,0.68757
823,come,attend,0.4655
824,know,believe,0.65286
825,gather,meet,0.39599
826,make,earn,0.4599
827,forget,ignore,0.08982
828,multiply,add,0.27808
829,shrink,grow,0.32823
830,arrive,leave,0.37917
831,succeed,try,0.40035
832,accept,deny,0.51306
833,arrive,come,0.3869
834,agree,differ,0.34248
835,send,receive,0.45312
836,win,dominate,0.30805
837,add,divide,0.33882
838,kill,choke,0.28817
839,acquire,get,0.34394
840,participate,join,0.15778
841,leave,remain,0.27291
842,go,enter,0.3958
843,take,carry,0.44787
844,forget,learn,0.28086
845,appoint,elect,0.3792
846,engage,marry,0.13453
847,ask,pray,0.32477
848,go,send,0.63181
849,take,deliver,0.32464
850,speak,hear,0.38559
851,analyze,evaluate,0.41285
852,argue,rationalize,0.47288
853,lose,keep,0.22661
854,compare,analyze,0.47864
855,disorganize,organize,0.49827
856,go,allow,0.2986
857,take,possess,0.07325
858,learn,listen,0.40012
859,destroy,construct,0.25
860,create,build,0.24801
861,steal,buy,0.28736
862,kill,hang,0.22205
863,forget,know,0.54085
864,create,imagine,0.47496
865,do,happen,0.41516
866,win,accomplish,0.24903
867,give,deny,0.29717
868,deserve,earn,0.25952
869,get,put,0.72797
870,locate,find,0.41916
871,appear,attend,0.23795
872,know,comprehend,0.25841
873,pretend,imagine,0.43153
874,satisfy,please,0.18207
875,cherish,keep,0.18521
876,argue,differ,0.38085
877,overcome,dominate,0.30939
878,behave,obey,0.11822
879,cooperate,participate,0.61018
880,achieve,try,0.31038
881,fail,discourage,0.48183
882,begin,quit,0.10376
883,say,participate,0.11567
884,come,bring,0.5257
885,declare,announce,0.40609
886,read,comprehend,0.38768
887,take,leave,0.66809
888,proclaim,announce,0.28932
889,acquire,obtain,0.14405
890,conclude,decide,0.21554
891,please,plead,0.23741
892,argue,prove,0.32159
893,ask,plead,0.29839
894,find,disappear,0.25738
895,inspect,examine,0.15045
896,verify,justify,0.17724
897,assume,predict,0.31801
898,learn,evaluate,0.3751
899,argue,justify,0.45002
900,make,become,0.46681
901,discover,originate,0.10297
902,achieve,succeed,0.0771
903,give,put,0.47215
904,understand,listen,0.38215
905,expand,grow,0.20039
906,borrow,sell,0.34553
907,keep,protect,0.42888
908,explain,prove,0.39818
909,assume,pretend,0.09659
910,agree,please,0.39523
911,forgive,forget,0.39054
912,clarify,explain,0.59734
913,understand,forgive,0.42827
914,remind,forget,0.3791
915,get,remain,0.15447
916,realize,discover,0.27278
917,require,inquire,0.28859
918,ignore,ask,0.15711
919,think,inquire,0.51766
920,reject,avoid,0.35392
921,argue,persuade,0.20132
922,pursue,persuade,0.33805
923,accept,forgive,0.38755
924,do,quit,0.43918
925,investigate,examine,0.09377
926,discuss,explain,0.34248
927,owe,lend,0.17824
928,explore,discover,0.35042
929,complain,argue,0.27796
930,withdraw,reject,0.32587
931,keep,borrow,0.1749
932,beg,ask,0.32185
933,arrange,organize,0.40058
934,reduce,shrink,0.33488
935,speak,acknowledge,0.36549
936,give,borrow,0.33998
937,kill,defend,0.30639
938,disappear,shrink,0.24873
939,deliver,carry,0.33425
940,breathe,choke,0.45799
941,acknowledge,notify,0.1278
942,become,seem,0.42371
943,pretend,seem,0.4974
944,accomplish,become,0.34011
945,contemplate,think,0.4058
946,determine,predict,0.23391
947,please,entertain,0.45167
948,remain,retain,0.39816
949,pretend,portray,0.32178
950,forget,retain,0.38129
951,want,choose,0.44415
952,lose,get,0.39299
953,try,think,0.55103
954,become,appear,0.3324
955,leave,ignore,0.24829
956,accept,recommend,0.25852
957,leave,wander,0.3515
958,keep,give,0.49135
959,give,allow,0.41517
960,bring,send,0.50625
961,absorb,learn,0.10373
962,acquire,find,0.52726
963,leave,appear,0.13518
964,create,destroy,0.32971
965,begin,go,0.33523
966,get,buy,0.56174
967,collect,save,0.23497
968,replace,restore,0.23141
969,join,add,0.28663
970,join,marry,0.25964
971,accept,deliver,0.24981
972,attach,join,0.23337
973,put,hang,0.64016
974,go,sell,0.42501
975,communicate,pray,0.32303
976,give,steal,0.30484
977,add,build,0.33411
978,bring,restore,0.11223
979,comprehend,satisfy,0.45232
980,portray,decide,0.29238
981,organize,become,0.28764
982,give,know,0.52503
983,say,verify,0.28913
984,cooperate,join,0.10194
985,arrange,require,0.20578
986,borrow,want,0.37017
987,investigate,pursue,0.15363
988,ignore,explore,0.22912
989,bring,complain,0.39209
990,enter,owe,0.39826
991,portray,notify,0.2344
992,remind,sell,0.25942
993,absorb,possess,0.4195
994,join,acquire,0.2186
995,send,attend,0.36122
996,gather,attend,0.14719
997,absorb,withdraw,0.29669
998,attend,arrive,0.38215
